idx,count
0,0
1,1
2,0
3,1
4,1
5,0
6,2
7,1
8,0
9,1
10,0
11,0
12,0
13,0
14,2
15,1
16,0
17,0
18,1
19,1
20,0
21,0
22,1
23,2
24,1
25,0
26,1
27,1
28,0
29,1
30,2
31,0
32,0
33,0
34,0
35,0
36,1
37,2
38,0
39,1
40,0
41,0
42,0
43,1
44,1
45,0
46,0
47,0
48,1
49,1
50,2
51,1
52,0
53,0
54,0
55,1
56,0
57,0
58,0
59,1
60,2
61,0
62,1
63,0
64,0
65,1
66,0
67,1
68,0
69,0
70,0
71,1
72,0
73,0
74,0
75,0
76,0
77,1
78,1
79,0
80,0
81,1
82,1
83,0
84,0
85,1
86,1
87,0
88,0
89,0
90,1
91,0
92,0
93,1
94,1
95,0
96,0
97,0
98,0
99,1
100,0
101,0
102,1
103,0
104,0
105,1
106,0
107,2
108,0
109,0
110,0
111,0
112,1
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,1
121,0
122,0
123,0
124,0
125,1
126,0
127,1
128,0
129,1
130,0
131,0
132,0
133,1
134,0
135,0
136,2
137,0
138,1
139,0
140,0
141,1
142,0
143,1
144,0
145,0
146,1
147,0
148,0
149,0
150,1
151,0
152,1
153,0
154,0
155,0
156,2
157,0
158,1
159,0
160,0
161,0
162,0
163,1
164,0
165,1
166,1
167,1
168,0
169,0
170,0
171,0
172,0
173,1
174,1
175,0
176,1
177,2
178,0
179,0
180,1
181,0
182,0
183,0
184,0
185,0
186,1
187,0
188,0
189,0
190,0
191,0
192,2
193,1
194,0
195,0
196,1
197,1
198,0
199,1
200,0
201,0
202,0
203,0
204,0
205,1
206,0
207,2
208,0
209,0
210,0
211,0
212,0
213,1
214,0
215,0
216,0
217,1
218,0
219,1
220,0
221,0
222,2
223,1
224,1
225,0
226,0
227,0
228,0
229,1
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,1
239,0
240,0
241,1
242,0
243,0
244,1
245,0
246,0
247,0
248,0
249,4
250,1
251,1
252,0
253,1
254,0
255,0
256,1
257,1
258,1
259,2
260,0
261,0
262,0
263,0
264,0
265,1
266,0
267,0
268,0
269,0
270,0
271,0
272,1
273,0
274,0
275,1
276,0
277,1
278,1
279,0
280,2
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,1
290,0
291,1
292,0
293,0
294,0
295,0
296,0
297,1
298,1
299,0
300,2
301,1
302,1
303,0
304,0
305,0
306,0
307,1
308,0
309,1
310,0
311,0
312,1
313,0
314,0
315,0
316,0
317,0
318,3
319,0
320,0
321,0
322,0
323,2
324,0
325,0
326,0
327,1
328,1
329,0
330,1
331,1
332,0
333,1
334,0
335,1
336,0
337,1
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,3
346,0
347,1
348,1
349,0
350,0
351,0
352,1
353,1
354,0
355,0
356,0
357,1
358,0
359,1
360,1
361,0
362,1
363,0
364,0
365,0
366,1
367,0
368,0
369,0
370,0
371,0
372,0
373,1
374,2
375,0
376,1
377,0
378,0
379,0
380,0
381,0
382,0
383,1
384,0
385,1
386,0
387,0
388,0
389,1
390,0
391,1
392,1
393,0
394,0
395,0
396,3
397,0
398,0
399,0
400,0
401,0
402,0
403,1
404,0
405,1
406,0
407,0
408,0
409,1
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,1
423,0
424,0
425,1
426,1
427,0
428,1
429,1
430,0
431,0
432,0
433,0
434,1
435,0
436,0
437,2
438,0
439,0
440,1
441,0
442,0
443,0
444,0
445,2
446,0
447,1
448,0
449,2
450,0
451,0
452,0
453,1
454,2
455,0
456,1
457,1
458,1
459,0
460,1
461,1
462,0
463,0
464,1
465,0
466,2
467,0
468,0
469,0
470,1
471,0
472,0
473,0
474,0
475,1
476,1
477,1
478,0
479,0
480,0
481,1
482,0
483,0
484,1
485,0
486,1
487,1
488,0
489,1
490,0
491,0
492,2
493,0
494,0
495,0
496,2
497,1
498,1
499,1
500,0
501,0
502,0
503,0
504,1
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,1
518,1
519,0
520,0
521,0
522,0
523,0
524,0
525,1
526,0
527,0
528,0
529,1
530,0
531,0
532,1
533,1
534,2
535,0
536,1
537,0
538,2
539,0
540,0
541,0
542,0
543,0
544,0
545,1
546,0
547,1
548,0
549,0
550,0
551,1
552,1
553,1
554,0
555,0
556,1
557,0
558,0
559,0
560,1
561,1
562,0
563,1
564,0
565,1
566,0
567,1
568,0
569,0
570,1
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,1
579,1
580,0
581,0
582,1
583,3
584,0
585,1
586,0
587,0
588,1
589,0
590,1
591,0
592,0
593,1
594,1
595,1
596,0
597,0
598,1
599,0
600,0
601,1
602,0
603,2
604,1
605,1
606,0
607,1
608,2
609,0
610,0
611,0
612,1
613,0
614,1
615,0
616,1
617,1
618,0
619,0
620,1
621,1
622,1
623,0
624,0
625,0
626,0
627,0
628,1
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,1
640,0
641,0
642,0
643,0
644,1
645,0
646,0
647,1
648,0
649,0
650,0
651,0
652,1
653,0
654,0
655,0
656,0
657,1
658,2
659,0
660,3
661,1
662,0
663,1
664,2
665,1
666,0
667,0
668,0
669,1
670,0
671,1
672,0
673,0
674,1
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,1
683,0
684,0
685,1
686,1
687,3
688,0
689,1
690,0
691,0
692,0
693,0
694,0
695,1
696,0
697,0
698,0
699,0
700,1
701,0
702,0
703,2
704,0
705,0
706,1
707,2
708,1
709,1
710,1
711,1
712,0
713,0
714,3
715,0
716,1
717,1
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,1
728,2
729,0
730,0
731,0
732,0
733,1
734,0
735,1
736,0
737,1
738,0
739,1
740,0
741,0
742,1
743,1
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,1
752,3
753,1
754,0
755,0
756,0
757,0
758,0
759,2
760,1
761,1
762,0
763,0
764,1
765,1
766,1
767,0
768,0
769,0
770,0
771,1
772,0
773,0
774,0
775,0
776,0
777,1
778,0
779,1
780,0
781,0
782,1
783,0
784,1
785,2
786,1
787,0
788,0
789,1
790,1
791,1
792,0
793,0
794,0
795,0
796,2
797,0
798,2
799,1
800,0
801,0
802,1
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,1
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,1
835,0
836,0
837,1
838,0
839,1
840,0
841,1
842,0
843,0
844,1
845,0
846,0
847,0
848,0
849,1
850,1
851,0
852,0
853,0
854,1
855,0
856,0
857,1
858,1
859,2
860,0
861,1
862,0
863,0
864,0
865,1
866,0
867,0
868,0
869,0
870,0
871,1
872,0
873,0
874,0
875,1
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,2
886,1
887,0
888,0
889,0
890,0
891,1
892,0
893,0
894,0
895,1
896,1
897,0
898,0
899,0
900,0
901,1
902,0
903,1
904,1
905,0
906,1
907,0
908,1
909,2
910,0
911,0
912,0
913,0
914,1
915,0
916,1
917,0
918,1
919,0
920,1
921,0
922,0
923,1
924,0
925,1
926,0
927,2
928,0
929,1
930,0
931,2
932,1
933,0
934,1
935,0
936,1
937,0
938,1
939,1
940,1
941,0
942,0
943,0
944,0
945,2
946,0
947,2
948,0
949,1
950,0
951,0
952,0
953,0
954,1
955,0
956,1
957,0
958,0
959,0
960,0
961,0
962,1
963,0
964,1
965,0
966,0
967,2
968,1
969,2
970,2
971,0
972,0
973,0
974,2
975,0
976,0
977,0
978,1
979,1
980,1
981,0
982,0
983,1
984,1
985,1
986,0
987,2
988,1
989,1
990,1
991,0
992,0
993,2
994,2
995,0
996,1
997,0
998,1
999,0
1000,0
1001,0
1002,1
1003,0
1004,0
1005,0
1006,0
1007,1
1008,2
1009,0
1010,0
1011,0
1012,0
1013,1
1014,0
1015,0
1016,0
1017,0
1018,2
1019,2
1020,2
1021,1
1022,1
1023,1
1024,1
1025,2
1026,0
1027,1
1028,0
1029,0
1030,1
1031,0
1032,1
1033,1
1034,1
1035,0
1036,0
1037,0
1038,0
1039,1
1040,0
1041,1
1042,1
1043,1
1044,1
1045,0
1046,0
1047,2
1048,0
1049,1
1050,0
1051,1
1052,0
1053,1
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
