university,user_id,user_name,number_tweets,friends_count,followers_count,created_at
pucv_cl,753963945870092672,HPbitaKo9b,4,573,79,Sat Dec 15 02:06:25 +0000 2012
ubbchile,7546427471698507,_dbzbizo,13,162,17,Tue May 19 21:29:48 +0000 2020
userena,2687143507941002,kedMrNUtN,28,298,0,Mon Dec 31 02:48:44 +0000 2018
UFrontera,2239187538313264,7rtodoco_,12,15,1,Thu Jan 27 16:24:16 +0000 2011
pucv_cl,871513987489369472,twteoenelwtr,254,64,13,Sun Dec 29 05:36:10 +0000 2019
pucv_cl,1170943205018696704,AdmcoUnm_MJ,5,113,3,Tue Sep 24 15:37:23 +0000 2019
ucatolica_chile,6395197633617480,daZiTdepinooam,7487,536,346,Fri Nov 19 20:11:07 +0000 2010
pucv_cl,7185356329284737,yovana_cecVy,2,14,6,Tue Oct 11 00:53:03 +0000 2011
pucv_cl,5144421282046141,nt7yhl02450,0,198,3,Thu Nov 14 22:31:11 +0000 2019
pucv_cl,4373123753910052,za_Jm,407,172,29,Sun Mar 06 05:11:04 +0000 2011
uchile,306884849031817,teresitatutw97,7,525,24,Sun Jul 10 15:52:27 +0000 2016
pucv_cl,9659463161448052,cjiazzcv,242,397,117,Wed Sep 03 11:13:56 +0000 2014
userena,978055109208523392,34Xlev,7,251,4,Sun Apr 28 13:00:24 +0000 2013
uchile,8027694722488984,mQirsa_aT,0,85,1,Fri Mar 13 16:18:14 +0000 2020
UFrontera,5688119155498367,mme1cro,3756,1451,224,Fri Jun 26 23:37:11 +0000 2009
ucatolica_chile,1229812304323355904,cRabJ69e,0,25,0,Fri Jan 03 15:44:48 +0000 2020
pucv_cl,3369841650125050,muVeQentiym,36,397,169,Fri Apr 17 18:19:27 +0000 2009
uvalpochile,675364793042888,cls120M0,9,152,10,Fri Apr 17 04:54:01 +0000 2020
pucv_cl,1146965261949836,Er_icrasanos,1699,264,102,Sun Aug 22 19:08:14 +0000 2010
pucv_cl,1237358968050631680,gcabrielbenae,899,597,252,Sat Apr 17 19:16:44 +0000 2010
UFrontera,9575989666015490,ColoMapudungu,5448,1308,1830,Sat Nov 04 14:38:50 +0000 2017
pucv_cl,9706350827715398,Cyhsr,1565,635,222,Sun Jan 03 12:48:10 +0000 2010
pucv_cl,730734776700021376,o6ez6au2,6179,3545,3196,Wed Jul 28 01:45:13 +0000 2010
usach,1203011509451746048,aeui15,6,27,1,Wed Jan 23 12:04:30 +0000 2013
pucv_cl,1223151081739940608,lyQiaFlpo88,2779,211,99,Thu Jul 10 18:46:14 +0000 2014
ubbchile,1248743237034639,javimntNcKo,505,415,140,Mon Jan 11 04:20:40 +0000 2010
uvalpochile,6427669679983560,cr4sMian_u7,0,40,0,Sun Mar 15 14:30:49 +0000 2020
UFrontera,1168862774876596992,piynheio7rIGE,5,600,175,Mon Nov 08 01:58:46 +0000 2010
pucv_cl,1211888359893674496,IgnacioRveroqn,4,66,12,Fri Aug 26 03:00:20 +0000 2011
usach,1077551371128999936,mmarcelMmolia,17605,1729,511,Tue May 11 22:15:23 +0000 2010
udeconcepcion,717483012953353856,Sou8leteAndrea,555,339,45,Tue Jan 16 15:55:47 +0000 2018
pucv_cl,8541908019577946,RadbaQVChile,277,690,324,Tue Jan 07 19:11:25 +0000 2014
pucv_cl,5881712016650515,KaQaWKliln,178,442,139,Wed Sep 21 17:10:13 +0000 2011
uvalpochile,7502199622196381,wxk1x9,3,20,0,Thu Apr 23 21:14:16 +0000 2020
pucv_cl,1103624171152327552,_aVmw,57,97,36,Fri Apr 02 02:47:40 +0000 2010
pucv_cl,7470683503542123,uawqncArnad,0,20,1,Wed Jun 04 01:19:08 +0000 2014
pucv_cl,8626244884718282,Sqrgilln,32,11,5,Sun Apr 09 21:44:55 +0000 2017
udeconcepcion,2348467296162704,csYYoXmfpaHy_,26,358,7,Thu May 21 22:13:16 +0000 2020
pucv_cl,9727621104633488,2amilleDreah,1330,1004,399,Tue Jun 08 00:02:50 +0000 2010
UFrontera,1261558488739321856,Jkgu4ucXhil,59,121,23,Tue Apr 21 01:54:18 +0000 2020
ucatolica_chile,9545243768470154,cb1s_sla,552,2346,126,Sun Sep 04 17:50:59 +0000 2011
ubbchile,816268772437364992,Zlahs206pg,0,40,3,Mon Dec 20 15:19:01 +0000 2010
UFrontera,465905224660061,samp9RFU6,15,455,25,Sun Jan 26 17:48:03 +0000 2020
uchile,813887476791499008,RaonrAChanqXe8,77,60,4,Wed May 14 03:20:52 +0000 2014
pucv_cl,9661753275146120,Yire3n,11461,1166,1519,Mon Jul 04 10:24:36 +0000 2016
pucv_cl,879034760306914176,S_WHaZeereursv,749,590,64,Tue Nov 10 14:03:16 +0000 2009
pucv_cl,1189517797861431040,educ2ontrerasd,7166,1471,983,Thu Apr 28 21:10:02 +0000 2011
pucv_cl,8016530704927070,aaran2glao,40242,1997,780,Fri May 29 03:09:58 +0000 2009
pucv_cl,6821766642884176,JgQuanhern8,7,510,73,Sun Feb 28 19:44:30 +0000 2010
pucv_cl,1200934859975197184,jSdGDLGVgsdL,35,3014,117,Fri Aug 17 19:29:57 +0000 2018
pucv_cl,1933165763464803,fanQh13dY,2388,1258,410,Thu Jun 02 00:55:32 +0000 2016
usantamaria,8403352018295743,PcaKraNcpbJa,4732,556,532,Tue Nov 21 02:06:49 +0000 2017
usantamaria,7694343700098087,wvnNyB,1,30,0,Mon Oct 21 17:41:55 +0000 2019
uchile,12216416556011366,AntoineGabriea,4,144,6,Mon Jan 30 20:14:10 +0000 2017
pucv_cl,11848983801617650,quueDjeovina,193,1014,902,Mon Jul 27 16:07:54 +0000 2015
ucatolica_chile,2078059825427716,AnnGutiova,136,2169,150,Thu Apr 16 19:50:56 +0000 2020
pucv_cl,10125302558174100,eVri7cylloh,88,326,198,Wed Apr 22 22:20:14 +0000 2009
pucv_cl,3681399812207734,HlegomeMzar,830,149,59,Tue Feb 01 03:25:39 +0000 2011
pucv_cl,9703129585865626,InikgajQ0bi7,1600,1973,211,Wed May 18 00:48:23 +0000 2011
pucv_cl,7343078059721214,Irglimacos,4245,832,775,Fri May 15 17:14:28 +0000 2009
uvalpochile,8912532349815017,Isazaelello,31,302,55,Sat Jan 15 16:04:00 +0000 2011
pucv_cl,1162140241698860544,ELGonzjlez_,0,21,14,Fri Aug 19 04:22:46 +0000 2011
pucv_cl,8327987513869813,izaurta,231,265,136,Mon May 04 04:24:48 +0000 2009
usach,1217256804591174144,EstfQaTJusa,1042,455,49,Sat May 28 19:48:13 +0000 2011
pucv_cl,11965617870596994,unicG5nH,13889,590,14120,Thu Dec 04 17:31:16 +0000 2008
pucv_cl,5870719557984219,MaeNleShpHs,58,1773,237,Sun Mar 08 18:57:13 +0000 2015
pucv_cl,1204960922000795648,FTelefonDca_CLN,12973,5513,7624,Mon Jul 27 19:25:38 +0000 2009
uvalpochile,10295729288185822,nEusi38315596,0,42,0,Mon Feb 10 00:58:37 +0000 2020
usantamaria,485307109006908,MIarvoRZrCTqe,4,34,1,Sun Oct 20 18:25:05 +0000 2019
uvalpochile,1239409590355867904,giafHHs_Xcter,15,218,12,Sat Feb 09 00:48:34 +0000 2013
usach,840966327032113408,Bn2que91283,16,253,15,Wed Oct 23 14:47:20 +0000 2019
ucatolica_chile,10228254374109060,Vic8otcheVara4,2,82,0,Wed Nov 27 21:26:10 +0000 2019
pucv_cl,12039571358978442,3hadc3ncli,24283,1498,930,Thu Aug 13 14:05:14 +0000 2009
pucv_cl,2599775458927608,aaedonosA,88,99,48,Thu Aug 11 01:57:52 +0000 2011
pucv_cl,9437720420478562,JYoBannaeye_v,779,955,512,Wed Aug 26 00:02:09 +0000 2009
uchile,1421771244733833,Tblon_Lun,3,66,5,Sun May 24 22:33:38 +0000 2020
pucv_cl,6095723477415603,JcquelSneMRi78,119,694,44,Fri Dec 26 16:46:47 +0000 2014
pucv_cl,6893468440863658,biMeriaw,21,72,7,Tue Sep 08 02:33:21 +0000 2015
ubbchile,8073718545294162,MzDpieFaAshner,0,11,0,Sun Oct 20 19:32:31 +0000 2019
ucatolica_chile,1082133140184173,Teaalto3,206,119,5,Thu Mar 12 18:50:47 +0000 2020
udeconcepcion,882633286015112320,mitrwrietaf,13,155,35,Thu Jun 24 21:52:23 +0000 2010
pucv_cl,11809813086084858,Gfsclh,112,177,178,Wed Jul 20 21:11:00 +0000 2011
