mapa,1,5,10,15,20
hashing_abierto,0.446574,2.347466,4.750360,7.399214,10.447264
hashing_cerrado_lineal,0.214499,1.113061,2.226369,3.412302,4.539994
hashing_cerrado_cuadratico,0.326320,1.682959,3.258365,4.881905,6.596676
stl,0.176002,0.977697,1.897689,2.939603,4.146429
