mapa,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,19908
hashing_abierto,0.782813,1.556489,2.328094,3.100896,3.883639,4.680766,5.443344,6.288035,7.046604,7.921504,8.697271,9.559067,10.354939,11.162665,12.079731,12.851522,13.743692,14.548681,15.456791,16.302004
hashing_cerrado_lineal,0.669909,1.335961,2.002578,2.694702,3.351477,4.030644,4.718301,5.385560,5.982525,6.660376,7.309032,8.001802,8.589928,9.215668,9.940922,10.539626,11.202635,11.823959,12.521262,13.136476
hashing_cerrado_cuadratico,0.654461,1.312126,1.991263,2.687315,3.355258,4.035082,4.661119,5.354252,5.959678,6.642433,7.306689,7.987179,8.581788,9.235008,9.943947,10.560044,11.232825,11.835146,12.519728,13.174125
hashing_cerrado_doble,0.837759,1.678520,2.534191,3.432301,4.273335,5.163942,5.994072,6.828124,7.638138,8.487964,9.334713,10.191783,10.982914,11.784425,12.742568,13.492362,14.389123,15.190685,16.047941,16.854590
std::unordered_map,0.410523,0.806657,1.248212,1.640586,2.029087,2.545912,2.938630,3.337534,3.723141,4.157382,4.827147,5.240892,5.618143,6.016753,6.464408,6.835463,7.300616,7.683641,8.171620,8.564355
