mapa,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,19908
hashing_abierto,0.394818,0.794791,1.207317,1.664280,2.118772,2.609159,3.101457,3.637934,4.228014,4.656584,5.170228,5.682842,6.188233,6.714770,7.195856,7.713848,8.218403,8.679267,9.207899,9.733881
hashing_cerrado_lineal,0.247819,0.491331,0.730721,0.980005,1.222711,1.466089,1.712908,1.970239,2.240198,2.463110,2.714167,2.966922,3.212559,3.470084,3.710495,3.957900,4.205443,4.444070,4.688296,4.946936
hashing_cerrado_cuadratico,0.247384,0.489031,0.735833,0.982859,1.223208,1.466663,1.718904,1.972653,2.241233,2.466005,2.725365,2.962051,3.196691,3.462754,3.702616,3.950431,4.201985,4.443060,4.684229,4.939208
hashing_cerrado_doble,0.429342,0.852284,1.274465,1.704783,2.126573,2.550142,2.981990,3.420015,3.884706,4.263923,4.710805,5.135397,5.546315,5.996838,6.411897,6.837833,7.270960,7.684695,8.095639,8.549609
std::unordered_map,0.181955,0.363219,0.555904,0.788457,1.033961,1.347023,1.667570,1.993068,2.398596,2.616604,2.923127,3.199911,3.433678,3.738377,3.992806,4.207232,4.489246,4.727881,4.888709,5.192319
